NAME,PERCENT
Alabama,59
Alaska,32
Arizona,18
Arkansas,86
California,3
Colorado,38
Connecticut,4
Delaware,18
Florida,27
Georgia,64
Hawaii,18
Idaho,67
Illinois,32
Indiana,66
Iowa,62
Kansas,61
Kentucky,82
Louisiana,75
Maine,1
Maryland,25
Massachusetts,13
Michigan,34
Minnesota,58
Mississippi,88
Missouri,94
Montana,48
Nebraska,40
Nevada,9
New Hampshire,23
New Jersey,15
New Mexico,48
New York,7
North Carolina,53
North Dakota,72
Ohio,55
Oklahoma,62
Oregon,22
Pennsylvania,39
Rhode Island,36
South Carolina,71
South Dakota,76
Tennessee,61
Texas,46
Utah,63
Vermont,38
Virginia,75
Washington,10
District of Columbia,0
West Virginia,90
Wisconsin,68
Wyoming,96